setting,task_name,model_id,model,data,root_path,data_path,features,target,freq,seq_len,label_len,pred_len,seasonal_patterns,inverse,expand,d_conv,top_k,num_kernels,enc_in,dec_in,c_out,d_model,n_heads,e_layers,d_layers,d_ff,moving_avg,factor,distil,dropout,embed,activation,channel_independence,decomp_method,use_norm,down_sampling_layers,down_sampling_window,down_sampling_method,seg_len,num_workers,itr,train_epochs,batch_size,patience,learning_rate,des,loss,lradj,use_amp,use_gpu,gpu,gpu_type,use_multi_gpu,devices,p_hidden_dims,p_hidden_layers,use_dtw,augmentation_ratio,seed,jitter,scaling,permutation,randompermutation,magwarp,timewarp,windowslice,windowwarp,rotation,spawner,dtwwarp,shapedtwwarp,wdba,discdtw,discsdtw,extra_tag,patch_len,mae,mse,rmse,mape,mspe,dtw
long_term_forecast_ETTh1_512_96_TimesNet_ETTh1_ftM_sl512_ll48_pl96_dm16_nh8_el2_dl1_df32_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,long_term_forecast,ETTh1_512_96,TimesNet,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,512,48,96,Monthly,False,2,4,5,6,7,7,7,16,8,2,1,32,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,32,3,0.0001,Exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.456882506608963,0.4420823454856872,0.6648927330970764,10.755837440490724,42597.70703125,Not calculated
long_term_forecast_ETTh1_96_96_TimeXer_ETTh1_ftM_sl96_ll48_pl96_dm256_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_exp_0,long_term_forecast,ETTh1_96_96,TimeXer,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,96,48,96,Monthly,False,2,4,5,6,7,7,7,256,8,1,1,2048,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,4,3,0.0001,exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.4028658866882324,0.381810575723648,0.617908239364624,9.98497200012207,42966.203125,Not calculated
long_term_forecast_ETTh1_512_192_TimesNet_ETTh1_ftM_sl512_ll48_pl192_dm16_nh8_el2_dl1_df32_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,long_term_forecast,ETTh1_512_192,TimesNet,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,512,48,192,Monthly,False,2,4,5,6,7,7,7,16,8,2,1,32,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,32,3,0.0001,Exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.4907732605934143,0.4920608103275299,0.7014704346656799,13.598722457885742,57617.6484375,Not calculated
long_term_forecast_ETTh1_512_336_TimesNet_ETTh1_ftM_sl512_ll48_pl336_dm16_nh8_el2_dl1_df32_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,long_term_forecast,ETTh1_512_336,TimesNet,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,512,48,336,Monthly,False,2,4,5,6,7,7,7,16,8,2,1,32,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,32,3,0.0001,Exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.4840326011180877,0.4778518974781036,0.6912683248519897,11.186796188354492,46487.453125,Not calculated
long_term_forecast_ETTh1_512_720_TimesNet_ETTh1_ftM_sl512_ll48_pl720_dm16_nh8_el2_dl1_df32_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,long_term_forecast,ETTh1_512_720,TimesNet,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,512,48,720,Monthly,False,2,4,5,6,7,7,7,16,8,2,1,32,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,32,3,0.0001,Exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.5260828733444214,0.552760660648346,0.7434787750244141,12.624831199645996,56129.51171875,Not calculated
long_term_forecast_ETTh1_96_192_TimeXer_ETTh1_ftM_sl96_ll48_pl192_dm128_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,long_term_forecast,ETTh1_96_192,TimeXer,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,96,48,192,Monthly,False,2,4,5,6,7,7,7,128,8,2,1,2048,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,4,3,0.0001,Exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.4354550540447235,0.4285057485103607,0.6546034812927246,10.53019905090332,42959.51953125,Not calculated
long_term_forecast_ETTh1_96_336_TimeXer_ETTh1_ftM_sl96_ll48_pl336_dm512_nh8_el1_dl1_df1024_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,long_term_forecast,ETTh1_96_336,TimeXer,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,96,48,336,Monthly,False,2,4,5,6,7,7,7,512,8,1,1,1024,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,16,3,0.0001,Exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.4494118094444275,0.4671980738639831,0.6835188865661621,10.978252410888672,48958.59375,Not calculated
long_term_forecast_ETTh1_96_720_TimeXer_ETTh1_ftM_sl96_ll48_pl720_dm256_nh8_el1_dl1_df1024_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,long_term_forecast,ETTh1_96_720,TimeXer,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,96,48,720,Monthly,False,2,4,5,6,7,7,7,256,8,1,1,1024,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,16,3,0.0001,Exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.4925978481769562,0.4987898766994476,0.7062505483627319,12.774839401245115,63614.828125,Not calculated
long_term_forecast_ETTh1_96_96_Transformer_ETTh1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,long_term_forecast,ETTh1_96_96,Transformer,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,96,48,96,Monthly,False,2,4,5,6,7,7,7,512,8,2,1,2048,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,32,3,0.0001,Exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.746488094329834,0.8881707191467285,0.9424281120300292,10.160927772521973,28081.52734375,Not calculated
long_term_forecast_ETTh1_96_192_Transformer_ETTh1_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,long_term_forecast,ETTh1_96_192,Transformer,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,96,48,192,Monthly,False,2,4,5,6,7,7,7,512,8,2,1,2048,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,32,3,0.0001,Exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.7597492933273315,0.920101284980774,0.9592190980911256,8.829858779907227,20349.958984375,Not calculated
